id;modele;plaque;date_fabrication;type
1;Producteur Towels;hacking;2021-12-29;VOITURE
2;User-friendly;Champagne-Ardenne;2021-12-29;VELO
3;Ergonomic;Plastic Lek;2021-12-29;JEEP
4;5th Frozen;Sleek deposit;2021-12-29;VELO
5;Maldives pink;5th Lorraine;2021-12-29;VOITURE
6;Buckinghamshire Bretagne Midi-Pyrénées;exploit leverage;2021-12-29;MOTO
7;c Handmade Account;metrics;2021-12-29;JEEP
8;Peso a;Executif Bourgogne;2021-12-29;JEEP
9;platforms;Chair deposit;2021-12-29;MOTO
10;killer;Frozen a;2021-12-29;VELO
