id;date_debut;date_fin;rapport_global;prix_total;discount_total;nuid
1;2021-12-29;2021-12-29;../fake-data/blob/hipster.txt;2425;290;services
2;2021-12-29;2021-12-29;../fake-data/blob/hipster.txt;8487;67573;neural streamline payment
3;2021-12-29;2021-12-29;../fake-data/blob/hipster.txt;3383;63360;Architecte
4;2021-12-29;2021-12-29;../fake-data/blob/hipster.txt;93920;66080;Frozen
5;2021-12-29;2021-12-29;../fake-data/blob/hipster.txt;45292;91095;architectures AI card
6;2021-12-29;2021-12-29;../fake-data/blob/hipster.txt;36652;790;flexibility
7;2021-12-29;2021-12-29;../fake-data/blob/hipster.txt;6927;21357;Latvian
8;2021-12-29;2021-12-29;../fake-data/blob/hipster.txt;41795;82001;copying eco-centric
9;2021-12-29;2021-12-29;../fake-data/blob/hipster.txt;71219;72154;Books budgetary
10;2021-12-29;2021-12-29;../fake-data/blob/hipster.txt;33201;75741;dominicaine Boétie
