id;date;statut;date_prochaine_maintenance;nuid
1;2021-12-29;ENVOYE;2021-12-29;Saint-Séverin Jewelery
2;2021-12-29;EN_COURS;2021-12-29;generate purple program
3;2021-12-29;EN_COURS;2021-12-29;Wooden reboot
4;2021-12-29;EN_COURS;2021-12-29;payment b
5;2021-12-29;EN_COURS;2021-12-29;partnerships Virtual Stagiaire
6;2021-12-29;ENVOYE;2021-12-29;Intelligent
7;2021-12-29;EN_COURS;2021-12-29;compressing a
8;2021-12-29;EN_COURS;2021-12-29;Health parallelism
9;2021-12-29;ENVOYE;2021-12-29;technologies client-server
10;2021-12-29;EN_COURS;2021-12-29;generation generate auxiliary
