id;nom;prix_unitaire;description;disponible;nuid
1;Chips;82071;calculating quantifying rich;false;silver PNG Polarised
2;Turquie Grocery;14459;Virtual;true;project interface
3;local Incredible Aquitaine;41032;Avon USB primary;true;Shoes deposit
4;Liban embrace;19795;Fresh transition;true;overriding Assistant Norwegian
5;Lira Chips;99051;matrix Incredible alarm;false;GB Wooden
6;alliance;35273;silver Executif Buckinghamshire;false;withdrawal asynchronous Mille
7;blue;82362;a;true;c Bedfordshire
8;Awesome olive;1407;Colombie Games;true;Fresh
9;parse Awesome;30574;deliver copy Forint;false;indexing
10;quantify Rubber Cambridgeshire;13479;frame Configurable a;false;Specialiste
